from_id,to_id,line_id,dist_m,travel_sec,is_estimated,verified
YL17,YL18,YELLOW,1331.3,189.8,1,1
YL18,YL19,YELLOW,1529.6,213.5,1,1
YL19,YL20,YELLOW,1331.1,189.7,1,1
YL20,YL21,YELLOW,879.5,135.5,1,1
YL21,YL22,YELLOW,1551.2,216.1,1,1
YL22,YL23,YELLOW,1666.4,230.0,1,0
PK01,PK02,PINK,846.1,131.5,1,1
PK02,PK03,PINK,1354.8,192.6,1,1
PK03,PK04,PINK,1778.3,243.4,1,1
PK04,PK05,PINK,1077.4,159.3,1,1
PK05,PK06,PINK,912.7,139.5,1,1
PK06,PK07,PINK,1124.6,165.0,1,1
PK07,PK08,PINK,1464.9,205.8,1,1
PK08,PK09,PINK,1220.7,176.5,1,1
PK09,PK10,PINK,973.1,146.8,1,1
PK10,PK11,PINK,1386.3,196.4,1,1
PK11,PK12,PINK,796.3,125.6,1,1
PK12,PK13,PINK,986.2,148.3,1,1
PK13,PK14,PINK,821.2,128.5,1,1
PK14,PK15,PINK,888.8,136.7,1,1
PK15,PK16,PINK,1022.0,152.6,1,1
PK16,PK17,PINK,730.5,117.7,1,1
PK17,PK18,PINK,1861.4,253.4,1,1
PK18,PK19,PINK,1018.1,152.2,1,1
PK19,PK20,PINK,743.4,119.2,1,1
PK20,PK21,PINK,1316.9,188.0,1,1
PK21,PK22,PINK,923.7,140.8,1,1
PK22,PK23,PINK,1079.8,159.6,1,1
PK23,PK24,PINK,1171.3,170.6,1,1
PK24,PK25,PINK,1452.3,204.3,1,1
PK25,PK26,PINK,1284.1,184.1,1,1
PK26,PK27,PINK,1975.6,267.1,1,1
PK27,PK28,PINK,1058.3,157.0,1,1
PK28,PK29,PINK,1343.3,191.2,1,1
PK29,PK30,PINK,882.5,135.9,1,1
PK10,MT01,PINK_MT,1552.8,216.3,0,1
MT01,MT02,PINK_MT,762.1,121.4,0,1
RN01,RN02,DARKRED,2005.6,190.5,0,0
RN02,RN03,DARKRED,2824.3,255.9,1,0
RN03,RN04,DARKRED,1196.5,125.7,1,0
RN04,RN05,DARKRED,2010.0,190.8,1,0
RN05,RN06,DARKRED,2010.0,190.8,1,0
RN06,RN07,DARKRED,2025.1,192.0,1,0
RN07,RN08,DARKRED,2025.1,192.0,1,0
RN08,RN09,DARKRED,5900.0,502.0,1,0
RN09,RN10,DARKRED,2629.0,240.3,1,0
RW01,RW02,LIGHTRED,2839.7,257.2,0,0
RW02,RW03,LIGHTRED,6312.0,535.0,0,0
RW03,RW04,LIGHTRED,4715.3,407.2,0,0
A8,A7,ARL,803.7,94.3,0,0
A7,A6,ARL,2398.0,221.8,0,0
A6,A5,ARL,6268.4,531.5,0,0
A5,A4,ARL,2651.1,242.1,0,0
A4,A3,ARL,3838.8,337.1,0,0
A3,A2,ARL,7825.5,656.0,0,0
A2,A1,ARL,3560.0,314.8,0,0
OR01,OR02,ORANGE_W,1713.4,211.2,1,0
OR02,OR03,ORANGE_W,827.0,120.1,1,0
OR03,OR04,ORANGE_W,918.0,129.4,1,0
OR04,OR05,ORANGE_W,918.5,129.5,1,0
OR05,OR06,ORANGE_W,918.5,129.5,1,0
OR06,OR07,ORANGE_W,1486.5,187.9,1,0
OR07,OR08,ORANGE_W,963.6,134.1,1,0
OR08,OR09,ORANGE_W,747.0,111.8,1,0
OR09,OR10,ORANGE_W,831.1,120.5,1,0
OR10,OR11,ORANGE_W,831.1,120.5,1,0
OR11,OR12,ORANGE_W,1696.9,209.5,1,0
OR12,OR13,ORANGE_E,1006.6,138.5,1,0
OR13,OR14,ORANGE_E,1552.7,194.7,1,0
OR14,OR15,ORANGE_E,1552.7,194.7,1,0
OR15,OR16,ORANGE_E,1552.8,194.7,1,0
OR16,OR17,ORANGE_E,1325.6,171.3,1,0
OR17,OR18,ORANGE_E,1325.6,171.3,1,0
OR18,OR19,ORANGE_E,1556.7,195.1,1,0
OR19,OR20,ORANGE_E,1425.4,181.6,1,0
OR20,OR21,ORANGE_E,1425.3,181.6,1,0
OR21,OR22,ORANGE_E,1425.3,181.6,1,0
OR22,OR23,ORANGE_E,1425.3,181.6,1,0
OR23,OR24,ORANGE_E,1425.2,181.6,1,0
OR24,OR25,ORANGE_E,1425.2,181.6,1,0
OR25,OR26,ORANGE_E,1425.2,181.6,1,0
OR26,OR27,ORANGE_E,1425.1,181.6,1,0
OR27,OR28,ORANGE_E,1605.1,200.1,1,0
PP16,PP17,PURPLE_S,1553.2,194.8,1,0
PP17,PP18,PURPLE_S,950.1,132.7,1,0
PP18,PP19,PURPLE_S,950.1,132.7,1,0
PP19,PP20,PURPLE_S,950.1,132.7,1,0
PP20,PP21,PURPLE_S,950.1,132.7,1,0
PP21,PP22,PURPLE_S,950.1,132.7,1,0
PP22,PP23,PURPLE_S,1285.2,167.2,1,0
PP23,PP24,PURPLE_S,767.1,113.9,1,0
PP24,PP25,PURPLE_S,2283.2,269.8,1,0
PP25,PP26,PURPLE_S,982.2,136.0,1,0
PP26,PP27,PURPLE_S,982.1,136.0,1,0
PP27,PP28,PURPLE_S,982.2,136.0,1,0
PP28,PP29,PURPLE_S,982.3,136.0,1,0
PP29,PP30,PURPLE_S,982.2,136.0,1,0
PP30,PP31,PURPLE_S,982.1,136.0,1,0
PP31,PP32,PURPLE_S,982.2,136.0,1,0
BR01,BR02,BROWN,392.9,77.1,1,0
BR02,BR03,BROWN,1291.5,185.0,1,0
BR03,BR04,BROWN,1291.5,185.0,1,0
BR04,BR05,BROWN,1291.5,185.0,1,0
BR05,BR06,BROWN,1291.5,185.0,1,0
BR06,BR07,BROWN,1291.5,185.0,1,0
BR07,BR08,BROWN,927.9,141.4,1,0
BR08,BR09,BROWN,927.8,141.3,1,0
BR09,BR10,BROWN,928.0,141.4,1,0
BR10,BR11,BROWN,927.8,141.3,1,0
BR11,BR12,BROWN,928.0,141.4,1,0
BR12,BR13,BROWN,927.8,141.3,1,0
BR13,BR14,BROWN,928.0,141.4,1,0
BR14,BR15,BROWN,927.8,141.3,1,0
BR15,BR16,BROWN,928.0,141.4,1,0
BR16,BR17,BROWN,927.9,141.3,1,0
BR17,BR18,BROWN,928.0,141.4,1,0
BR18,BR19,BROWN,927.9,141.3,1,0
BR19,BR20,BROWN,928.1,141.4,1,0
GR01,GR02,GREY,211.5,55.4,1,0
GR02,GR03,GREY,1706.7,234.8,1,0
GR03,GR04,GREY,1706.7,234.8,1,0
GR04,GR05,GREY,1706.7,234.8,1,0
GR05,GR06,GREY,1706.7,234.8,1,0
GR06,GR07,GREY,1706.7,234.8,1,0
GR07,GR08,GREY,1706.8,234.8,1,0
GR08,GR09,GREY,1706.8,234.8,1,0
GR09,GR10,GREY,1706.8,234.8,1,0
GR10,GR11,GREY,1706.8,234.8,1,0
SV01,SV02,SILVER,1209.3,175.1,1,0
SV02,SV03,SILVER,1209.3,175.1,1,0
SV03,SV04,SILVER,1209.4,175.1,1,0
SV04,SV05,SILVER,1209.2,175.1,1,0
SV05,SV06,SILVER,1209.2,175.1,1,0
SV06,SV07,SILVER,1209.2,175.1,1,0
SV07,SV08,SILVER,1209.3,175.1,1,0
SV08,SV09,SILVER,1209.2,175.1,1,0
SV09,SV10,SILVER,1209.2,175.1,1,0
SV10,SV11,SILVER,1209.2,175.1,1,0
SV11,SV12,SILVER,1209.3,175.1,1,0
SV12,SV13,SILVER,1209.1,175.1,1,0
SV13,SV14,SILVER,1209.2,175.1,1,0
LB01,LB02,LIGHTBLUE,939.2,142.7,1,0
LB02,LB03,LIGHTBLUE,939.2,142.7,1,0
LB03,LB04,LIGHTBLUE,2398.0,317.8,1,0
LB04,LB05,LIGHTBLUE,747.0,119.6,1,0
LB05,LB06,LIGHTBLUE,852.1,132.2,1,0
LB06,LB07,LIGHTBLUE,2074.8,279.0,1,0
LB07,LB08,LIGHTBLUE,1325.7,189.1,1,0
RN10,RN11,DARKRED_N,2357.4,218.6,1,0
RN11,RN12,DARKRED_N,2357.4,218.6,1,0
RN12,RN13,DARKRED_N,2357.4,218.6,1,0
RN13,RN14,DARKRED_N,2357.4,218.6,1,0
RW04,RW05,LIGHTRED_W,3087.2,277.0,1,0
RW05,RW06,LIGHTRED_W,3087.2,277.0,1,0
RW06,RW07,LIGHTRED_W,3087.1,277.0,1,0
RW07,RW08,LIGHTRED_W,3087.0,277.0,1,0
RW04,RS01,LIGHTRED_S,1944.5,185.6,1,0
RS01,RS02,LIGHTRED_S,1944.6,185.6,1,0
RS02,RS03,LIGHTRED_S,1944.6,185.6,1,0
BL32,BL01,BLUE,1696.8,209.5,0,0
BL01,BL34,BLUE,288.0,64.6,1,0
