station_id,name_th,name_en,lat,lon,lines,coord_source,is_estimated,map_x,map_y,label_side
E2,เพลินจิต,Phloen Chit,13.7432,100.5486,SUKHUMVIT,anchor,0,552.1,858.1,right
E3,นานา,Nana,13.7404,100.5551,SUKHUMVIT,anchor,0,551.5,888.9,left
E4,อโศก,Asok,13.7373,100.5601,SUKHUMVIT,anchor,0,571.9,909.4,left
E5,พร้อมพงษ์,Phrom Phong,13.7304,100.5697,SUKHUMVIT,anchor,0,592.6,930.4,left
E6,ทองหล่อ,Thong Lo,13.7241,100.5786,SUKHUMVIT,anchor,0,616.5,954.6,right
E7,เอกมัย,Ekkamai,13.7195,100.5853,SUKHUMVIT,anchor,0,637.5,975.6,right
E8,พระโขนง,Phra Khanong,13.7154,100.5917,SUKHUMVIT,anchor,0,658.5,996.7,left
E9,อ่อนนุช,On Nut,13.7057,100.6013,SUKHUMVIT,anchor,0,679.6,1017.8,right
E10,บางจาก,Bang Chak,13.6963,100.6046,SUKHUMVIT,anchor,0,679.4,1052.0,left
E11,ปุณณวิถี,Punnawithi,13.6892,100.6094,SUKHUMVIT,anchor,0,700.5,1073.1,right
E12,อุดมสุข,Udom Suk,13.6797,100.6096,SUKHUMVIT,anchor,0,677.6,1095.8,left
E13,บางนา,Bang Na,13.668,100.6046,SUKHUMVIT,anchor,0,698.7,1116.9,right
E14,แบริ่ง,Bearing,13.6614,100.6017,SUKHUMVIT,anchor,0,677.4,1138.2,left
E15,สำโรง,Samrong,13.646,100.598,SUKHUMVIT,anchor,0,677.4,1191.8,left
E16,ปู่เจ้า,Pu Chao,13.634125,100.598875,SUKHUMVIT,interpolated,0,677.5,1236.5,right
E17,ช้างเอราวัณ,Chang Erawan,13.62225,100.59975,SUKHUMVIT,interpolated,0,677.7,1275.5,right
E18,โรงเรียนนายเรือ,Royal Thai Naval Academy,13.610375,100.600625,SUKHUMVIT,interpolated,0,677.8,1314.3,right
E19,ปากน้ำ,Pak Nam,13.5985,100.6015,SUKHUMVIT,anchor,0,677.8,1353.3,right
E20,ศรีนครินทร์,Srinagarindra,13.585875,100.603,SUKHUMVIT,interpolated,0,677.9,1394.5,right
E21,แพรกษา,Phraek Sa,13.57325,100.6045,SUKHUMVIT,interpolated,0,677.9,1435.8,right
E22,สายลวด,Sai Luat,13.560625,100.606,SUKHUMVIT,interpolated,0,678.0,1477.0,right
E23,เคหะฯ,Kheha,13.548,100.6075,SUKHUMVIT,anchor,0,678.0,1518.0,right
W1,สนามกีฬาแห่งชาติ,National Stadium,13.7463,100.5296,SILOM,anchor,0,463.9,866.6,left
S1,ราชดำริ,Ratchadamri,13.7397,100.5395,SILOM,anchor,0,505.8,908.8,right
S2,ศาลาแดง,Sala Daeng,13.7286,100.5345,SILOM,anchor,0,484.2,929.6,left
S3,ช่องนนทรี,Chong Nonsi,13.7237,100.529,SILOM,anchor,0,455.8,958.6,left
S4,เซนต์หลุยส์,Saint Louis,13.7215,100.5232,SILOM,anchor,0,435.1,979.9,left
S5,สุรศักดิ์,Surasak,13.7194,100.5163,SILOM,anchor,0,414.5,958.7,right
S6,สะพานตากสิน,Saphan Taksin,13.7189,100.5142,SILOM,anchor,0,393.8,979.9,right
S7,กรุงธนบุรี,Krung Thon Buri,13.7207,100.5015,SILOM,anchor,0,369.4,954.9,left
S8,วงเวียนใหญ่,Wongwian Yai,13.7207,100.489,SILOM,anchor,0,348.4,933.6,right
S9,โพธิ์นิมิตร,Pho Nimit,13.7182,100.4826,SILOM,interpolated,0,323.2,958.9,right
S10,ตลาดพลู,Talat Phlu,13.7157,100.4762,SILOM,anchor,0,292.0,990.2,left
S11,วุฒากาศ,Wutthakat,13.71815,100.46705,SILOM,interpolated,0,264.0,962.3,right
S12,บางหว้า,Bang Wa,13.7206,100.4579,SILOM,anchor,0,222.0,962.3,left
G1,กรุงธนบุรี,Krung Thon Buri,13.7207,100.5015,GOLD,anchor,0,379.2,964.6,left
G2,เจริญนคร,Charoen Nakhon,13.7264,100.51,GOLD,anchor,0,406.8,937.0,right
G3,คลองสาน,Khlong San,13.73,100.51,GOLD,anchor,0,406.9,907.0,right
BL01,ท่าพระ,Tha Phra,13.7294,100.4742,BLUE,anchor,0,297.5,933.1,right
BL02,จรัญฯ 13,Charan 13,13.742367,100.474033,BLUE,interpolated,0,297.6,883.9,left
BL03,ไฟฉาย,Fai Chai,13.755333,100.473867,BLUE,interpolated,0,297.8,843.7,left
BL04,บางขุนนนท์,Bang Khun Non,13.7683,100.4737,BLUE,anchor,0,298.1,802.1,left
BL05,บางยี่ขัน,Bang Yi Khan,13.7733,100.48085,BLUE,interpolated,0,318.5,780.4,left
BL06,สิรินธร,Sirindhorn,13.7783,100.488,BLUE,anchor,0,338.9,758.5,left
BL07,บางพลัด,Bang Phlat,13.787533,100.499,BLUE,interpolated,0,360.2,735.6,right
BL08,บางอ้อ,Bang O,13.796767,100.51,BLUE,interpolated,0,381.0,713.3,left
BL09,บางโพ,Bang Pho,13.806,100.521,BLUE,anchor,0,403.4,689.2,right
BL10,เตาปูน,Tao Poon,13.806,100.529,BLUE,anchor,0,422.8,667.8,right
BL11,บางซื่อ,Bang Sue,13.8028,100.538,BLUE,anchor,0,442.5,689.6,left
BL12,กำแพงเพชร,Kamphaeng Phet,13.8025,100.546,BLUE,interpolated,0,502.6,688.5,right
BL13,สวนจตุจักร,Chatuchak Park,13.8022,100.554,BLUE,anchor,0,548.2,687.6,right
BL14,พหลโยธิน,Phahon Yothin,13.8135,100.5601,BLUE,anchor,0,551.5,652.5,left
BL15,ลาดพร้าว,Lat Phrao,13.8163,100.5619,BLUE,anchor,0,555.0,618.0,left
BL16,รัชดาภิเษก,Ratchadaphisek,13.803467,100.566067,BLUE,interpolated,0,597.7,658.4,right
BL17,สุทธิสาร,Sutthisan,13.790633,100.570233,BLUE,interpolated,0,599.6,717.7,left
BL18,ห้วยขวาง,Huai Khwang,13.7778,100.5744,BLUE,anchor,0,601.8,767.5,right
BL19,ศูนย์วัฒนธรรมแห่งประเทศไทย,Thailand Cultural Centre,13.7666,100.5697,BLUE,anchor,0,603.9,811.5,right
BL20,พระราม 9,Phra Ram 9,13.758,100.5654,BLUE,anchor,0,577.4,838.4,left
BL21,เพชรบุรี,Phetchaburi,13.7486,100.5657,BLUE,anchor,0,616.0,876.9,right
BL22,สุขุมวิท,Sukhumvit,13.7385,100.5615,BLUE,anchor,0,585.5,909.0,left
BL23,ศูนย์การประชุมแห่งชาติสิริกิติ์,Queen Sirikit National Convention Centre,13.7231,100.5601,BLUE,anchor,0,585.5,961.5,right
BL24,คลองเตย,Khlong Toei,13.7226,100.5533,BLUE,anchor,0,545.2,961.5,left
BL25,ลุมพินี,Lumphini,13.7256,100.5457,BLUE,anchor,0,522.6,938.8,right
BL26,สีลม,Si Lom,13.7292,100.5364,BLUE,anchor,0,493.3,938.9,right
BL27,สามย่าน,Sam Yan,13.7325,100.5296,BLUE,anchor,0,461.3,906.8,left
BL28,หัวลำโพง,Hua Lamphong,13.7377,100.517,BLUE,anchor,0,431.3,906.8,left
BL29,วัดมังกร,Wat Mangkon,13.743,100.51,BLUE,anchor,0,410.0,885.6,right
BL30,สามยอด,Sam Yot,13.7452,100.5015,BLUE,anchor,0,379.9,885.7,right
BL31,สนามไชย,Sanam Chai,13.744,100.494,BLUE,anchor,0,344.8,885.6,left
BL32,อิสรภาพ,Itsaraphap,13.74,100.4855,BLUE,anchor,0,323.6,906.9,right
BL34,บางไผ่,Bang Phai,13.7303,100.4717,BLUE,interpolated,0,265.3,933.1,left
BL35,บางหว้า,Bang Wa,13.7206,100.4579,BLUE,anchor,0,236.0,962.3,right
BL36,เพชรเกษม 48,Phetkasem 48,13.717067,100.4416,BLUE,interpolated,0,185.3,962.3,right
BL37,ภาษีเจริญ,Phasi Charoen,13.713533,100.4253,BLUE,interpolated,0,133.2,962.3,left
BL38,บางแค,Bang Khae,13.71,100.409,BLUE,anchor,0,87.6,962.3,left
BL39,หลักสอง,Lak Song,13.706,100.4045,BLUE,anchor,0,55.7,994.2,left
PP01,คลองบางไผ่,Khlong Bang Phai,13.8783,100.403,PURPLE,anchor,0,60.9,506.6,left
PP02,ตลาดบางใหญ่,Talad Bang Yai,13.874686,100.415143,PURPLE,interpolated,0,98.5,506.6,left
PP03,สามแยกบางใหญ่,Sam Yaek Bang Yai,13.871071,100.427286,PURPLE,interpolated,0,136.9,506.7,left
PP04,บางพลู,Bang Phlu,13.867457,100.439429,PURPLE,interpolated,0,176.2,506.8,left
PP05,บางรักใหญ่,Bang Rak Yai,13.863843,100.451571,PURPLE,interpolated,0,215.7,507.0,right
PP06,บางรักน้อย-ท่าอิฐ,Bang Rak Noi Tha It,13.860229,100.463714,PURPLE,interpolated,0,255.1,507.3,right
PP07,ไทรม้า,Sai Ma,13.856614,100.475857,PURPLE,interpolated,0,292.2,507.6,right
PP08,สะพานพระนั่งเกล้า,Phra Nang Klao Bridge,13.853,100.488,PURPLE,anchor,0,325.3,508.1,right
PP09,แยกนนทบุรี 1,Yaek Nonthaburi 1,13.855333,100.496667,PURPLE,interpolated,0,355.3,508.6,right
PP10,บางกระสอ,Bang Krasor,13.857667,100.505333,PURPLE,interpolated,0,385.3,509.2,left
PP11,ศูนย์ราชการนนทบุรี,Nonthaburi Civic Center,13.86,100.514,PURPLE,anchor,0,418.6,509.8,right
PP12,กระทรวงสาธารณสุข,Ministry of Public Health,13.85125,100.51675,PURPLE,interpolated,0,418.4,539.8,left
PP13,แยกติวานนท์,Yaek Tiwanon,13.8425,100.5195,PURPLE,interpolated,0,418.4,569.8,left
PP14,วงศ์สว่าง,Wong Sawang,13.83375,100.52225,PURPLE,interpolated,0,418.6,628.3,right
PP15,บางซ่อน,Bang Son,13.825,100.525,PURPLE,anchor,0,376.6,670.8,left
PP16,เตาปูน,Tao Poon,13.806,100.529,PURPLE|PURPLE_S,anchor,0,409.1,668.8,right
YL01,ลาดพร้าว,Lat Phrao,13.8163,100.5619,YELLOW,anchor,0,565.5,629.3,left
YL02,ภาวนา,Phawana,13.809114,100.573629,YELLOW,interpolated,0,608.4,672.8,right
YL03,โชคชัย 4,Chok Chai 4,13.801929,100.585357,YELLOW,interpolated,0,633.8,698.6,left
YL04,ลาดพร้าว 71,Lat Phrao 71,13.794743,100.597086,YELLOW,interpolated,0,664.2,729.3,right
YL05,ลาดพร้าว 83,Lat Phrao 83,13.787557,100.608814,YELLOW,interpolated,0,689.8,755.1,left
YL06,มหาดไทย,Mahat Thai,13.780371,100.620543,YELLOW,interpolated,0,726.7,792.1,right
YL07,ลาดพร้าว 101,Lat Phrao 101,13.773186,100.632271,YELLOW,interpolated,0,756.7,792.1,left
YL08,บางกะปิ,Bang Kapi,13.766,100.644,YELLOW,anchor,0,789.9,792.1,right
YL09,แยกลำสาลี,Yaek Lam Sali,13.762,100.644,YELLOW,anchor,0,789.9,845.5,left
YL10,ศรีกรีฑา,Si Kritha,13.755,100.644,YELLOW,interpolated,0,789.5,873.9,right
YL11,หัวหมาก,Hua Mak,13.748,100.644,YELLOW,anchor,0,728.0,870.6,left
YL12,กลันตัน,Kalantan,13.7395,100.640167,YELLOW,interpolated,0,779.6,867.9,right
YL13,ศรีนุช,Si Nut,13.731,100.636333,YELLOW,interpolated,0,780.8,926.0,left
YL14,ศรีนครินทร์ 38,Srinagarindra 38,13.7225,100.6325,YELLOW,interpolated,0,782.2,967.9,right
YL15,สวนหลวง ร.9,Suan Luang Rama IX,13.714,100.628667,YELLOW,interpolated,0,762.4,989.0,right
YL16,ศรีนครินทร์ 55,Sinakharin 55,13.7055,100.624833,YELLOW,interpolated,0,742.4,1009.9,right
YL17,ศรีอุดม,Si Udom,13.697,100.621,YELLOW,interpolated,0,722.2,1030.7,right
YL18,ศรีเอี่ยม,Si Iam,13.6885,100.617167,YELLOW,interpolated,0,701.7,1051.4,left
YL19,ศรีลาซาล,Si La Salle,13.68,100.613333,YELLOW,interpolated,0,728.1,1076.8,right
YL20,ศรีแบริ่ง,Si Bearing,13.6715,100.6095,YELLOW,interpolated,0,707.3,1097.6,left
YL21,ศรีด่าน,Si Dan,13.663,100.605667,YELLOW,interpolated,0,707.7,1146.6,right
YL22,ศรีเทพา,Si Thepha,13.6545,100.601833,YELLOW,interpolated,0,686.8,1167.8,left
YL23,สำโรง,Samrong,13.646,100.598,YELLOW,anchor,0,687.0,1201.7,right
PK01,ศูนย์ราชการนนทบุรี,Nonthaburi Civic Center,13.86,100.514,PINK,anchor,0,409.1,519.7,left
PK02,แคราย,Khae Rai,13.8696,100.5108,PINK,interpolated,0,409.5,479.1,right
PK03,สนามบินน้ำ,Sanambin Nam,13.8792,100.5076,PINK,interpolated,0,369.2,438.9,left
PK04,สามัคคี,Samakkhi,13.8888,100.5044,PINK,interpolated,0,369.2,403.5,left
PK05,กรมชลประทาน,Royal Irrigation Department,13.8984,100.5012,PINK,interpolated,0,369.2,373.5,left
PK06,แยกปากเกร็ด,Yaek Pak Kret,13.908,100.498,PINK,anchor,0,369.1,326.1,left
PK07,เลี่ยงเมืองปากเกร็ด,Pak Kret Bypass,13.908625,100.508375,PINK,interpolated,0,405.8,326.1,right
PK08,แจ้งวัฒนะ-ปากเกร็ด 28,Chaeng Watthana Pak Kret 28,13.90925,100.51875,PINK,interpolated,0,435.8,326.1,left
PK09,ศรีรัช,Si Rat,13.909875,100.529125,PINK,interpolated,0,465.9,326.1,left
PK10,เมืองทองธานี,Muang Thong Thani,13.9105,100.5395,PINK|PINK_MT,anchor,0,514.4,326.1,left
PK11,แจ้งวัฒนะ 14,Chaeng Watthana 14,13.904125,100.548625,PINK,interpolated,0,536.7,348.3,right
PK12,ศูนย์ราชการเฉลิมพระเกียรติ,Government Complex,13.89775,100.55775,PINK,interpolated,0,558.2,369.7,left
PK13,โทรคมนาคมแห่งชาติ,National Telecom,13.891375,100.566875,PINK,interpolated,0,584.7,396.1,left
PK14,หลักสี่,Lak Si,13.885,100.576,PINK,anchor,0,623.0,434.2,right
PK15,ราชภัฏพระนคร,Rachaphruek,13.8799,100.5853,PINK,interpolated,0,666.7,433.7,right
PK16,วัดพระศรีมหาธาตุ,Wat Phra Sri Mahathat,13.8748,100.5946,PINK,anchor,0,691.0,457.2,left
PK17,รามอินทรา 3,Ram Inthra 3,13.871156,100.604089,PINK,interpolated,0,735.1,499.2,left
PK18,ลาดปลาเค้า,Lat Pla Khao,13.867511,100.613578,PINK,interpolated,0,797.0,498.8,right
PK19,รามอินทรา 31,Ram Inthra 31,13.863867,100.623067,PINK,interpolated,0,858.7,498.4,right
PK20,มัยลาภ,Maiyalap,13.860222,100.632556,PINK,interpolated,0,823.5,533.8,left
PK21,วัดพระยาสุเรนทร์,Wat Phraya Suren,13.856578,100.642044,PINK,interpolated,0,844.8,512.7,left
PK22,รามอินทรา 40,Ram Inthra 40,13.852933,100.651533,PINK,interpolated,0,867.0,534.4,right
PK23,คู้บอน,Khu Bon,13.849289,100.661022,PINK,interpolated,0,888.2,555.4,left
PK24,รามอินทรา 83,Ram Inthra 83,13.845644,100.670511,PINK,interpolated,0,929.2,513.8,right
PK25,วงแหวนรามอินทรา,Wong Waen Ram Inthra,13.842,100.68,PINK,anchor,0,958.8,513.4,right
PK26,นพรัตน์,Nopparat,13.8364,100.691,PINK,interpolated,0,979.6,534.2,right
PK27,บางชัน,Bang Chan,13.8308,100.702,PINK,interpolated,0,1000.3,554.9,left
PK28,เศรษฐบุตรบำเพ็ญ,Setthabutbamphen,13.8252,100.713,PINK,interpolated,0,1021.1,575.6,left
PK29,ตลาดมีนบุรี,Min Buri Market,13.8196,100.724,PINK,interpolated,0,1042.0,596.4,left
PK30,มีนบุรี,Min Buri,13.814,100.735,PINK,anchor,0,1066.4,620.8,right
MT01,อิมแพ็ค เมืองทองธานี,Impact Muang Thong Thani,13.913,100.547,PINK_MT,anchor,0,549.5,326.1,right
MT02,ทะเลสาบเมืองทองธานี,Muang Thong Thani Lake,13.918,100.551,PINK_MT,anchor,0,572.5,303.1,right
RN01,กลางกรุงเทพอภิวัฒน์,Krung Thep Aphiwat Central Terminal,13.8028,100.538,DARKRED,anchor,0,442.4,674.3,right
RN02,จตุจักร,Chatuchak,13.818,100.548,DARKRED,anchor,0,443.1,614.1,left
RN03,วัดเสมียนนารี,Wat Samian Nari,13.83475,100.555,DARKRED,interpolated,0,486.1,571.5,right
RN04,บางเขน,Bang Khen,13.8515,100.562,DARKRED,interpolated,0,528.8,528.9,right
RN05,ทุ่งสองห้อง,Thung Song Hong,13.86825,100.569,DARKRED,interpolated,0,570.8,486.9,left
RN06,หลักสี่,Lak Si,13.885,100.576,DARKRED,anchor,0,613.2,444.3,left
RN07,การเคหะ,Kan Kheha,13.899,100.588,DARKRED,interpolated,0,655.3,402.3,left
RN08,ดอนเมือง,Don Mueang,13.913,100.6,DARKRED,anchor,0,697.8,359.9,right
RN09,หลักหก,Lak Hok,13.9495,100.609,DARKRED,interpolated,0,697.8,300.0,right
RN10,รังสิต,Rangsit,13.986,100.618,DARKRED|DARKRED_N,anchor,0,697.8,240.0,right
RW01,กลางกรุงเทพอภิวัฒน์,Krung Thep Aphiwat Central Terminal,13.8028,100.538,LIGHTRED,anchor,0,431.0,682.7,right
RW02,บางซ่อน,Bang Son,13.825,100.525,LIGHTRED,anchor,0,367.2,683.1,left
RW03,บางบำหรุ,Bang Bamru,13.79,100.47,LIGHTRED,anchor,0,304.3,686.0,left
RW04,ตลิ่งชัน,Taling Chan,13.779,100.436,LIGHTRED|LIGHTRED_W|LIGHTRED_S,anchor,0,241.7,688.7,left
A8,พญาไท,Phaya Thai,13.7566,100.5337,ARL,anchor,0,496.4,831.7,left
A7,ราชปรารภ,Ratchaprarop,13.758,100.541,ARL,anchor,0,539.4,874.2,left
A6,มักกะสัน,Makkasan,13.751,100.562,ARL,anchor,0,600.4,874.7,left
A5,รามคำแหง,Ramkhamhaeng,13.753,100.62,ARL,anchor,0,661.1,876.7,left
A4,หัวหมาก,Hua Mak,13.748,100.644,ARL,anchor,0,713.5,874.1,left
A3,บ้านทับช้าง,Ban Thap Chang,13.742,100.679,ARL,anchor,0,763.1,874.9,left
A2,ลาดกระบัง,Lat Krabang,13.728,100.75,ARL,anchor,0,824.2,875.3,left
A1,สุวรรณภูมิ,Suvarnabhumi,13.6961,100.7472,ARL,anchor,0,885.5,875.5,right
OR01,บางขุนนนท์,Bang Khun Non,13.7683,100.4737,ORANGE_W,anchor,1,289.3,792.6,left
OR02,ศิริราช,Siriraj,13.758,100.4855,ORANGE_W,anchor,1,313.7,816.4,left
OR03,สนามหลวง,Sanam Luang,13.7565,100.493,ORANGE_W,anchor,1,342.2,846.0,left
OR04,อนุสาวรีย์ประชาธิปไตย,Democracy Monument,13.7565,100.5015,ORANGE_W,anchor,1,371.9,846.5,left
OR05,หลานหลวง,Lan Luang,13.75625,100.51,ORANGE_W,interpolated,1,413.7,847.0,right
OR06,ยมราช,Yommarat,13.756,100.5185,ORANGE_W,anchor,1,443.7,847.4,left
OR07,ราชเทวี,Ratchathewi,13.7519,100.5316,ORANGE_W,anchor,1,475.7,847.8,left
OR08,ประตูน้ำ,Pratunam,13.7513,100.5405,ORANGE_W,anchor,1,528.6,848.0,right
OR09,ราชปรารภ,Ratchaprarop,13.758,100.541,ORANGE_W,anchor,1,528.1,818.3,left
OR10,รางน้ำ,Rang Nam,13.762,100.5475,ORANGE_W,interpolated,1,548.4,797.3,left
OR11,ดินแดง,Din Daeng,13.766,100.554,ORANGE_W,anchor,1,577.2,797.3,right
OR12,ศูนย์วัฒนธรรมแห่งประเทศไทย,Thailand Cultural Centre,13.7666,100.5697,ORANGE_W|ORANGE_E,anchor,1,605.7,797.3,left
OR13,รฟม.,MRTA,13.766,100.579,ORANGE_E,anchor,1,638.5,796.9,left
OR14,ประดิษฐ์มนูธรรม,Pradit Manutham,13.761667,100.592667,ORANGE_E,interpolated,1,675.1,796.6,right
OR15,รามคำแหง 12,Ramkhamhaeng 12,13.757333,100.606333,ORANGE_E,interpolated,1,675.4,826.5,left
OR16,รามคำแหง,Ramkhamhaeng,13.753,100.62,ORANGE_E,anchor,1,675.9,881.2,left
OR17,ราชมังคลา,Ratchamangkhala,13.7505,100.632,ORANGE_E,interpolated,1,737.2,885.2,right
OR18,หัวหมาก,Hua Mak,13.748,100.644,ORANGE_E,anchor,1,738.1,858.1,left
OR19,ลำสาลี,Lam Sali,13.762,100.644,ORANGE_E,anchor,1,799.3,858.0,right
OR20,ศรีบูรพา,Si Burapha,13.7685,100.655375,ORANGE_E,interpolated,1,836.9,822.4,left
OR21,คลองบ้านม้า,Khlong Ban Ma,13.775,100.66675,ORANGE_E,interpolated,1,879.5,781.3,right
OR22,สัมมากร,Sammakon,13.7815,100.678125,ORANGE_E,interpolated,1,921.4,740.6,right
OR23,น้อมเกล้า,Nom Klao,13.788,100.6895,ORANGE_E,interpolated,1,951.6,711.6,right
OR24,ราษฎร์พัฒนา,Rat Phatthana,13.7945,100.700875,ORANGE_E,interpolated,1,981.3,682.9,right
OR25,มีนพัฒนา,Min Phatthana,13.801,100.71225,ORANGE_E,interpolated,1,1010.1,655.2,right
OR26,เคหะรามคำแหง,Kheha Ramkhamhaeng,13.8075,100.723625,ORANGE_E,interpolated,1,1033.9,632.4,right
OR27,มีนบุรี,Min Buri,13.814,100.735,ORANGE_E,anchor,1,1056.5,610.8,left
OR28,สุวินทวงศ์,Suwinthawong,13.821,100.748,ORANGE_E,anchor,1,1097.0,570.4,right
PP17,รัฐสภา,Rat Sapha,13.797,100.518,PURPLE_S,anchor,1,385.9,692.3,left
PP18,ศรีย่าน,Si Yan,13.7889,100.5152,PURPLE_S,interpolated,1,386.9,733.8,left
PP19,วชิรพยาบาล,Vachira Hospital,13.7808,100.5124,PURPLE_S,interpolated,1,388.0,763.6,right
PP20,หอสมุดแห่งชาติ,National Library,13.7727,100.5096,PURPLE_S,interpolated,1,389.1,793.4,right
PP21,บางขุนพรหม,Bang Khun Phrom,13.7646,100.5068,PURPLE_S,interpolated,1,390.0,823.3,right
PP22,ผ่านฟ้า,Phan Fa,13.7565,100.504,PURPLE_S,anchor,1,390.7,854.9,right
PP23,สามยอด,Sam Yot,13.7452,100.5015,PURPLE_S,anchor,1,369.9,875.9,left
PP24,สะพานพุทธ,Saphan Phut,13.7395,100.4975,PURPLE_S,anchor,1,370.0,912.2,right
PP25,วงเวียนใหญ่,Wongwian Yai,13.7207,100.489,PURPLE_S,anchor,1,338.7,943.5,left
PP26,สำเหร่,Samre,13.712314,100.491857,PURPLE_S,interpolated,1,338.8,975.9,right
PP27,ดาวคะนอง,Dao Khanong,13.703929,100.494714,PURPLE_S,interpolated,1,338.9,1005.9,right
PP28,บางปะแก้ว,Bang Pakok,13.695543,100.497571,PURPLE_S,interpolated,1,339.0,1036.0,right
PP29,บางปะกอก,Bang Pakok 2,13.687157,100.500429,PURPLE_S,interpolated,1,339.0,1066.1,right
PP30,สุขสวัสดิ์,Suksawat,13.678771,100.503286,PURPLE_S,interpolated,1,339.0,1096.2,right
PP31,ราษฎร์บูรณะ,Rat Burana,13.670386,100.506143,PURPLE_S,interpolated,1,339.0,1126.3,right
PP32,ครุใน,Kru Nai,13.662,100.509,PURPLE_S,anchor,1,339.0,1156.3,right
BR01,แคราย,Khae Rai,13.862,100.517,BROWN,anchor,1,419.9,489.1,right
BR02,ศูนย์ราชการนนทบุรี,Nonthaburi Civic Center,13.86,100.514,BROWN,anchor,1,377.9,531.9,left
BR03,งามวงศ์วาน 2,Ngamwongwan 2,13.85694,100.52554,BROWN,interpolated,1,438.2,532.4,right
BR04,งามวงศ์วาน 18,Ngamwongwan 18,13.85388,100.53708,BROWN,interpolated,1,478.2,532.9,right
BR05,ชินเขต,Chin Khet,13.85082,100.54862,BROWN,interpolated,1,508.1,533.4,left
BR06,บางเขน,Bang Khen,13.84776,100.56016,BROWN,interpolated,1,552.8,533.8,right
BR07,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,13.8447,100.5717,BROWN,anchor,1,582.8,534.1,left
BR08,คลองบางเขน,Khlong Bang Khen,13.838338,100.577262,BROWN,interpolated,1,611.3,562.9,right
BR09,แยกเกษตร,Yaek Kaset,13.831977,100.582823,BROWN,interpolated,1,632.3,584.2,right
BR10,ประเสริฐมนูกิจ 2,Prasert Manukit 2,13.825615,100.588385,BROWN,interpolated,1,653.3,605.5,right
BR11,ประดิษฐ์มนูธรรม,Pradit Manutham,13.819254,100.593946,BROWN,interpolated,1,674.2,626.8,right
BR12,โรงเรียนสตรีวิทยา 2,Satri Witthaya 2,13.812892,100.599508,BROWN,interpolated,1,695.1,648.0,right
